Ref #	Form / Wkst Line #	Data Type	Description	TA Calculation Notes (Plain Language)	Calculation	Override Condition	Model Type (Dev)	Property Name (Dev)
			HEADER					
TC40BTPSSN	"TC-40B, Header"	SSN/ITIN	SSN	TP's SSN	[FD1040PIcalc:PITp05]			
TC40BTPLastName	"TC-40B, Header"	Text	Last Name	TP's Last Name	[FD1040PIcalc:PITp03]			
TC40BNR	"TC-40B, Header"	Yes/No/Blank	Residency Status: Nonresident	IF Residency Status for UT equals NR THEN check the box; otherwise leave blank	"IF [FDAWCalc:PYNRAWRes] = NR     WHERE [FDAWCalc:PYNRAWState] = UT;       RETURN YES;ELSE RETURN Blank"			
TC40BNRState	"TC-40B, Header"	Enum: State	Residency Status: Home State Abbreviation	IF Nonresident checkbox is selected THEN return the Residency State; otherwise leave blank	"IF [TC40BNR] = YES      RETURN [FDAWCalc:AWState];ELSE RETURN Blank"			
TC40BPY	"TC-40B, Header"	Yes/No/Blank	Residency Status: Part-Year Resident	IF Residency Status for UT equals PY THEN check the box; otherwise leave blank	"IF [FDAWCalc:PYNRAWRes] = PY     WHERE [FDAWCalc:PYNRAWState] = UT;       RETURN YES;ELSE RETURN Blank"			
TC40BPYDateFrom	"TC-40B, Header"	Date	Residency Status: Date From: (mm/dd/yy)	IF TP is PY then return the TP's PY Resident Beginning Date; otherwise if SP is PY then return SP's PY Resident Beginning Date; otherwise leave blank	"IF [FDAWCalc:PYNRAWResTp] = PY     WHERE [FDAWCalc:PYNRAWState] = UT;      RETURN [FDAWCalc:PYNRAWDate01Tp]                         WHERE [FDAWCalc:PYNRAWState] = UT;ELSE IF [FDAWCalc:PYNRAWResSp] = PY              WHERE [FDAWCalc:PYNRAWState] = UT;      RETURN [FDAWCalc:PYNRAWDate01Sp]                        WHERE [FDAWCalc:PYNRAWState] = UT;ELSE RETURN Blank;"			
TC40BPYDateTo	"TC-40B, Header"	Date	Residency Status: Date To: (mm/dd/yy)	IF TP is PY then return the TP's PY Resident Ending Date; otherwise if SP is PY then return SP's PY Resident Ending Date; otherwise leave blank	"IF [FDAWCalc:PYNRAWResTp] = PY     WHERE [FDAWCalc:PYNRAWState] = UT;      RETURN [FDAWCalc:PYNRAWDate02Tp]                         WHERE [FDAWCalc:PYNRAWState] = UT;ELSE IF [FDAWCalc:PYNRAWResSp] = PY              WHERE [FDAWCalc:PYNRAWState] = UT;      RETURN [FDAWCalc:PYNRAWDate02Sp]                        WHERE [FDAWCalc:PYNRAWState] = UT;ELSE RETURN Blank;"			
			INCOME					
TC40BWagesA	"TC-40B, Line 1 Column A"	Money (non-negative)	"Wages, salaries, tips, etc. (1040/1040A Line 7, 1040EZ, Line 1) - Column A - UTAH"	"Populate with only the UT Wages, salaries, tips, etc."	"IF MFJ     RETURN ([FDAWCalc:PYNRAW1]                      WHERE [FDAWCalc:PYNRAWState] = UT) plus                      ([FDAWCalc:PYNRAW2]                      WHERE [FDAWCalc:PYNRAWState] = UT);ELSE RETURN [FDAWCalc:PYNRAW1]                           WHERE [FDAWCalc:PYNRAWState] = UT "			
TC40BWagesB	"TC-40B, Line 1 Column B"	Money (non-negative)	"Wages, salaries, tips, etc. (1040/1040A Line 7, 1040EZ, Line 1) - Column B - TOTAL"	Federal Form 1040 Line 7	[FD1040calc:F1040L7]			
TC40BInterestA	"TC-40B, Line 2 Column A"	Money (non-negative)	"Taxable Interest Income (1040/1040A Line 8a, 1040EZ Line 2) - Column A - UTAH"	Populate with only the UT Taxable Interest Income	"IF MFJ     RETURN ([FDAWCalc:PYNRAW45]                      WHERE [FDAWCalc:PYNRAWState] = UT) plus                      ([FDAWCalc:PYNRAW46]                      WHERE [FDAWCalc:PYNRAWState] = UT);ELSE RETURN [FDAWCalc:PYNRAW45]                           WHERE [FDAWCalc:PYNRAWState] = UT "			
